startTime,combined_price,total_volume
2018-01-01T00:00:00Z,47.27,781.35
2018-01-01T00:30:00Z,48.57,655.4
2018-01-01T01:00:00Z,52.32,821.5
2018-01-01T01:30:00Z,51.18,815.2
2018-01-01T02:00:00Z,46.08,709.05
2018-01-01T02:30:00Z,46.01,649.6
2018-01-01T03:00:00Z,39.24,551.35
2018-01-01T03:30:00Z,37.6,620.4
2018-01-01T04:00:00Z,36.62,434.65
2018-01-01T04:30:00Z,35.65,682.85
2018-01-01T05:00:00Z,38.28,632.1
2018-01-01T05:30:00Z,40.21,616.95
2018-01-01T06:00:00Z,44.55,668.15
2018-01-01T06:30:00Z,43.72,813.9
2018-01-01T07:00:00Z,47.66,624.35
2018-01-01T07:30:00Z,49.47,445.8
2018-01-01T08:00:00Z,43.89,590.8
2018-01-01T08:30:00Z,47.66,404.5
2018-01-01T09:00:00Z,43.31,470.65
2018-01-01T09:30:00Z,41.53,570.7
2018-01-01T10:00:00Z,45.01,711.8
2018-01-01T10:30:00Z,45.04,874.0
2018-01-01T11:00:00Z,53.46999999999999,622.65
2018-01-01T11:30:00Z,59.07,728.0
2018-01-01T12:00:00Z,57.29,456.55
2018-01-01T12:30:00Z,58.39,477.4
2018-01-01T13:00:00Z,56.59,793.0
2018-01-01T13:30:00Z,58.24,958.45
2018-01-01T14:00:00Z,54.55,1137.65
2018-01-01T14:30:00Z,51.25,1256.05
2018-01-01T15:00:00Z,57.96,1147.3
2018-01-01T15:30:00Z,59.5,1028.5
2018-01-01T16:00:00Z,61.51,1034.5
2018-01-01T16:30:00Z,63.3,989.95
2018-01-01T17:00:00Z,61.70000000000001,1201.3
2018-01-01T17:30:00Z,60.02,1278.6
2018-01-01T18:00:00Z,57.36,1153.85
2018-01-01T18:30:00Z,54.290000000000006,1259.8
2018-01-01T19:00:00Z,44.99,1058.15
2018-01-01T19:30:00Z,45.86,1065.0
2018-01-01T20:00:00Z,47.7,1145.35
2018-01-01T20:30:00Z,44.73,1159.0
2018-01-01T21:00:00Z,45.79,1414.8
2018-01-01T21:30:00Z,45.55,1429.6
2018-01-01T22:00:00Z,44.94,1619.1
