startTime,combined_price,total_volume
2019-01-01T00:00:00Z,48.81,273.0
2019-01-01T00:30:00Z,50.24,222.0
2019-01-01T01:00:00Z,41.9,95.9
2019-01-01T01:30:00Z,39.32,182.3
2019-01-01T02:00:00Z,34.09,204.95
2019-01-01T02:30:00Z,29.85,374.15
2019-01-01T03:00:00Z,27.55,539.4
2019-01-01T03:30:00Z,25.61,619.4
2019-01-01T04:00:00Z,28.74,467.0
2019-01-01T04:30:00Z,26.86,596.95
2019-01-01T05:00:00Z,22.67,706.8
2019-01-01T05:30:00Z,22.900000000000002,720.5
2019-01-01T06:00:00Z,22.91,808.0
2019-01-01T06:30:00Z,23.39,745.0
2019-01-01T07:00:00Z,40.69,656.0
2019-01-01T07:30:00Z,40.41,753.05
2019-01-01T08:00:00Z,40.06,707.05
2019-01-01T08:30:00Z,41.45,502.95
2019-01-01T09:00:00Z,40.95,661.75
2019-01-01T09:30:00Z,40.15,772.45
2019-01-01T10:00:00Z,42.53,798.2
2019-01-01T10:30:00Z,45.099999999999994,861.95
2019-01-01T11:00:00Z,51.75,1055.15
2019-01-01T11:30:00Z,51.08,983.4
2019-01-01T12:00:00Z,50.67,1092.65
2019-01-01T12:30:00Z,50.38,1143.15
2019-01-01T13:00:00Z,51.43,972.9
2019-01-01T13:30:00Z,49.9,1190.9
2019-01-01T14:00:00Z,51.39,1202.25
2019-01-01T14:30:00Z,52.00999999999999,1344.5
2019-01-01T15:00:00Z,51.87,611.55
2019-01-01T15:30:00Z,48.49,647.9
2019-01-01T16:00:00Z,54.99,730.6
2019-01-01T16:30:00Z,62.42,896.25
2019-01-01T17:00:00Z,65.19,555.0
2019-01-01T17:30:00Z,65.95,820.7
2019-01-01T18:00:00Z,65.15,888.5
2019-01-01T18:30:00Z,64.22,1117.5
2019-01-01T19:00:00Z,59.0,209.25
2019-01-01T19:30:00Z,57.74,482.15
2019-01-01T20:00:00Z,57.2,254.5
2019-01-01T20:30:00Z,54.44,429.5
2019-01-01T21:00:00Z,51.66,674.75
2019-01-01T21:30:00Z,50.60999999999999,750.75
2019-01-01T22:00:00Z,50.84,728.75
2019-01-01T22:30:00Z,49.46,922.3
2019-01-01T23:00:00Z,45.07,377.6
2019-01-01T23:30:00Z,45.05,325.75
2019-01-02T00:00:00Z,44.9,341.0
2019-01-02T00:30:00Z,44.73,440.0
2019-01-02T01:00:00Z,44.02,313.0
2019-01-02T01:30:00Z,43.99,469.0
2019-01-02T02:00:00Z,44.17,476.5
2019-01-02T02:30:00Z,45.01,541.2
2019-01-02T03:00:00Z,46.71,255.0
2019-01-02T03:30:00Z,45.11,184.0
2019-01-02T04:00:00Z,46.19,248.2
2019-01-02T04:30:00Z,45.92,251.3
2019-01-02T05:00:00Z,46.04,126.0
2019-01-02T05:30:00Z,49.4,181.0
2019-01-02T06:00:00Z,49.4,308.75
2019-01-02T06:30:00Z,49.01,493.5
2019-01-02T07:00:00Z,53.39,460.95
2019-01-02T07:30:00Z,55.550000000000004,331.5
2019-01-02T08:00:00Z,57.27,609.5
2019-01-02T08:30:00Z,54.93,609.5
2019-01-02T09:00:00Z,58.87,575.15
2019-01-02T09:30:00Z,57.42,493.5
2019-01-02T10:00:00Z,57.52,535.5
2019-01-02T10:30:00Z,58.09,603.25
2019-01-02T11:00:00Z,65.43,525.0
2019-01-02T11:30:00Z,66.07,536.0
2019-01-02T12:00:00Z,68.28,664.0
2019-01-02T12:30:00Z,67.03,599.0
2019-01-02T13:00:00Z,65.88,640.5
2019-01-02T13:30:00Z,66.68,737.6
2019-01-02T14:00:00Z,67.12,797.1
2019-01-02T14:30:00Z,70.3,998.3
2019-01-02T15:00:00Z,88.15,1069.1
2019-01-02T15:30:00Z,91.47,1478.9
2019-01-02T16:00:00Z,94.41,1257.95
2019-01-02T16:30:00Z,103.38,1252.9
2019-01-02T17:00:00Z,107.02000000000001,1561.15
2019-01-02T17:30:00Z,112.17,1731.15
2019-01-02T18:00:00Z,113.78,1883.65
2019-01-02T18:30:00Z,108.24,1716.7
2019-01-02T19:00:00Z,96.63,959.8
2019-01-02T19:30:00Z,83.78,1211.7
2019-01-02T20:00:00Z,75.96,734.8
2019-01-02T20:30:00Z,75.12,583.3
2019-01-02T21:00:00Z,62.12,551.3
2019-01-02T21:30:00Z,61.44,706.95
2019-01-02T22:00:00Z,58.03,898.8
2019-01-02T22:30:00Z,57.059999999999995,1268.35
2019-01-02T23:00:00Z,55.25,29.5
2019-01-02T23:30:00Z,0.0,0.0
2019-01-03T00:00:00Z,60.18,66.5
2019-01-03T00:30:00Z,60.18,66.5
2019-01-03T01:00:00Z,0.0,0.0
2019-01-03T01:30:00Z,59.470000000000006,38.0
2019-01-03T02:00:00Z,59.52,126.5
2019-01-03T02:30:00Z,57.77,122.7
2019-01-03T03:00:00Z,56.410000000000004,219.05
2019-01-03T03:30:00Z,53.78999999999999,193.05
2019-01-03T04:00:00Z,53.8,196.8
2019-01-03T04:30:00Z,53.56,206.15
2019-01-03T05:00:00Z,52.21999999999999,197.5
2019-01-03T05:30:00Z,51.42000000000001,163.1
2019-01-03T06:00:00Z,61.04,650.7
2019-01-03T06:30:00Z,58.98,769.45
2019-01-03T07:00:00Z,64.17,481.15
2019-01-03T07:30:00Z,67.2,435.7
2019-01-03T08:00:00Z,62.77,419.3
2019-01-03T08:30:00Z,61.59,387.2
2019-01-03T09:00:00Z,63.18000000000001,324.95
2019-01-03T09:30:00Z,61.49,403.45
2019-01-03T10:00:00Z,62.47,438.4
