startTime,combined_price,total_volume
2022-01-01T00:00:00Z,43.830000000000005,388.2
2022-01-01T00:30:00Z,31.15,481.6
2022-01-01T01:00:00Z,24.74,468.55
2022-01-01T01:30:00Z,9.04,695.4
2022-01-01T02:00:00Z,37.09,722.9
2022-01-01T02:30:00Z,10.59,545.7
2022-01-01T03:00:00Z,-12.37,551.0
2022-01-01T03:30:00Z,-34.94,628.5
2022-01-01T04:00:00Z,-40.88,585.25
2022-01-01T04:30:00Z,-59.599999999999994,633.8
2022-01-01T05:00:00Z,-64.47,703.7
2022-01-01T05:30:00Z,-60.64,513.55
2022-01-01T06:00:00Z,-57.85,724.3
2022-01-01T06:30:00Z,-60.61,733.25
2022-01-01T07:00:00Z,-52.34,1059.15
2022-01-01T07:30:00Z,-56.38,898.7
2022-01-01T08:00:00Z,-58.61,1007.5
2022-01-01T08:30:00Z,-54.36,876.1
2022-01-01T09:00:00Z,-27.56,848.65
2022-01-01T09:30:00Z,9.78,1051.4
2022-01-01T10:00:00Z,19.27,1002.2
2022-01-01T10:30:00Z,50.23,983.7
2022-01-01T11:00:00Z,17.67,958.95
2022-01-01T11:30:00Z,33.81,1096.05
2022-01-01T12:00:00Z,39.98,1053.4
2022-01-01T12:30:00Z,72.6,1466.9
2022-01-01T13:00:00Z,42.44,1002.85
2022-01-01T13:30:00Z,30.05,1010.5
2022-01-01T14:00:00Z,25.9,1444.25
2022-01-01T14:30:00Z,31.99,992.65
2022-01-01T15:00:00Z,51.470000000000006,1367.45
2022-01-01T15:30:00Z,51.13,1170.6
2022-01-01T16:00:00Z,50.14999999999999,1391.8
2022-01-01T16:30:00Z,62.55,1564.3
2022-01-01T17:00:00Z,64.03,1528.95
2022-01-01T17:30:00Z,71.56,1377.55
2022-01-01T18:00:00Z,76.92,1601.9
2022-01-01T18:30:00Z,70.79,1412.0
2022-01-01T19:00:00Z,40.13,1126.0
2022-01-01T19:30:00Z,45.02,1102.65
2022-01-01T20:00:00Z,62.02,1449.85
2022-01-01T20:30:00Z,62.31,1399.2
2022-01-01T21:00:00Z,48.5,1109.55
2022-01-01T21:30:00Z,47.03,916.35
2022-01-01T22:00:00Z,47.35,1162.15
2022-01-01T22:30:00Z,40.87,919.0
2022-01-01T23:00:00Z,21.94,648.3
2022-01-01T23:30:00Z,17.66,847.65
2022-01-02T00:00:00Z,39.0,548.7
2022-01-02T00:30:00Z,50.54,487.05
2022-01-02T01:00:00Z,36.07,601.55
2022-01-02T01:30:00Z,25.99,579.75
2022-01-02T02:00:00Z,22.8,700.15
2022-01-02T02:30:00Z,21.28,630.1
2022-01-02T03:00:00Z,20.89,599.05
2022-01-02T03:30:00Z,-6.24,628.6
2022-01-02T04:00:00Z,-5.12,561.15
2022-01-02T04:30:00Z,-1.9099999999999997,590.15
2022-01-02T05:00:00Z,1.1,644.9
